cpt_cleaned,cpt_cleaned_standard,test_type,test_classification
ANTI MICROSOMAL ANTIBODY,Anti Microsomal Antibody,Laboratory,01 Clinic+
SLEEP STUDY,Sleep Study,Uncategorized,02 PCC+
ULTRASOUND-PELVIC,Ultrasound - Pelvic,Imaging,02 PCC+
"FUNDUS PHOTO, OU (BOTH EYES)","Fundus Photo, Ou (Both Eyes",Ophthalmology,02 PCC+
CT SCAN - WHOLE ABDOMEN & CHEST CONTRAST PACKAGE,CT Scan - Whole Abdomen & Chest Contrast Package,Imaging,03 Hospital Only
CT SCAN-CORONARY ANGIOGRAPHY,CT Scan - Coronary Angiography,Imaging,03 Hospital Only
QUANTIFERON-TB TEST (QFT),Quantiferon-Tb Test (Qft,Laboratory,01 Clinic+
2D ECHO DOPPLER W/ GLS,2D Echo with Doppler,Cardiology,02 PCC+
CT SCAN - CHEST HIGH RESOLUTION CONTRAST,CT Scan - Chest High Resolution Contrast,Imaging,03 Hospital Only
(PBS) PERIPHERAL BLOOD SMEAR,Pbs) Peripheral Blood Smear,Laboratory,01 Clinic+
SERUM TESTOSTERONE,Serum Testosterone,Laboratory,01 Clinic+
ESWL INITIAL WITH PF,Eswl Initial Pf,Urology,03 Hospital Only
"MAJOR RETINA, VITRECTOMY, ENDOLASER (GROSS OF PHIC/PF AND FACILITY FEE INCLUDED)","Major Retina, Vitrectomy, Endolaser (Gross Of Phic/Pf And Facility Fee Included",Uncategorized,02 PCC+
ULTRASOUND-WHOLE ABDOMEN W/ PROSTATE,Ultrasound - Whole Abdomen,Imaging,02 PCC+
XRAY-LUMBAR SPINE APL 11X14,X-Ray - Lumbar Spine Apl 11X14,Imaging,02 PCC+
PET SCAN,Pet Scan,Uncategorized,02 PCC+
QUANTIFERON TB (QFT),Quantiferon Tb (Qft,Uncategorized,02 PCC+
MRI-WRIST UNILATERAL,MRI - Wrist Unilateral,Imaging,03 Hospital Only
TOTAL BILIRUBIN,Bilirubin,Uncategorized,02 PCC+
EXTRACORPOREAL SHOCK WAVE LITHOTRIPSY (ESWL) PACKAGE 1ST TREATMENT,Extracorporeal Shock Wave Lithotripsy (Eswl) Package 1St Treatment,Urology,03 Hospital Only
EMG-NCV,Emg-Ncv,Uncategorized,02 PCC+
ACTIVATED PARTIAL THROMBOPLASTIN TIME (APTT),Activated Partial Thromboplastin Time (Aptt,Laboratory,01 Clinic+
MRI PELVIC PLAIN,MRI - Pelvic Plain,Imaging,03 Hospital Only
TOTAL PROTEIN (TP),Total Protein (Tp,Laboratory,01 Clinic+
SERUM IRON,Serum Iron,Laboratory,01 Clinic+
PHACOEMULSIFICATION WITH IOL UNDER LOCAL ANESTHESIA (FACILITY FEE + OPTHA & ANES PF INCLUDED/NET OF PHIC),Phacoemulsification Iol Under Local Anesthesia (Facility Fee + Optha & Anes Pf Included/Net Of Phic,Uncategorized,02 PCC+
HSV 1 & 2 IGG,Hsv 1 & 2 Igg,Laboratory,01 Clinic+
(ANA) ANTINUCLEAR ANTIBODIES (QUALI),Ana) Antinuclear Antibodies (Quali,Uncategorized,02 PCC+
BASIC GASTRO COLONOSCOPY WITH ANESTHESIA SUPPLIES,Basic Gastro Colonoscopy Anesthesia Supplies,Laboratory,03 Hospital Only
ULTRASOUND-ANY 1 ORGAN,Ultrasound - Any 1 Organ,Imaging,02 PCC+
ARTERIAL DUPLEX SCAN,Arterial Duplex Scan,Uncategorized,02 PCC+
SPECIAL TEST IN-HOUSE_JAK2 MUTATION PCR,Special Test In-House_Jak2 Mutation Pcr,Laboratory,01 Clinic+
PHOTOTHERAPY,Phototherapy,Uncategorized,02 PCC+
MRI - MRCP WITH CONTRAST,MRI - Mrcp,Imaging,03 Hospital Only
XRAY-THORACIC SPINE APL 11X14,X-Ray - Thoracic Spine Apl 11X14,Imaging,02 PCC+
URINE MICROALBUMIN / CREATININE ASSAY,Creatinine,Laboratory,01 Clinic+
"PHACOEMULCIFICATION WITH IOL IMPLANTATION AND SILICON OIL REMOVAL UNDER LOCAL ANESTHESIA, PER EYE, WITH PF (NET OF PHILHEALTH)","Phacoemulcification Iol Implantation And Silicon Oil Removal Under Local Anesthesia, Per Eye, Pf (Net Of Philhealth",Ophthalmology,02 PCC+
CT SCAN-NECK CONTRAST,CT Scan - Neck Contrast,Imaging,03 Hospital Only
CT SCAN WHOLE ABDOMEN TRIPLE CONTRAST,CT Scan - Whole Abdomen Triple Contrast,Imaging,03 Hospital Only
INJECTION OF EYLEA OD,Injection Of Eylea Od,Uncategorized,02 PCC+
MAMMOTEST BIOPSY WITH PF,Mammotest Biopsy Pf,Laboratory,03 Hospital Only
(CRP) C-REACTIVE PROTEIN SCREEN,Crp) C-Reactive Protein Screen,Laboratory,01 Clinic+
MRI - CRANIAL WITH CONTRAST,MRI - Cranial,Imaging,03 Hospital Only
MRA-BRAIN/HEAD PLAIN,Mra-Brain/Head Plain,Uncategorized,02 PCC+
CD4 COUNT,Cd4 Count,Uncategorized,02 PCC+
ANTI TPO,Anti Tpo,Uncategorized,02 PCC+
LIVER PROFILE,Liver Profile,Laboratory,01 Clinic+
(EEG) ELECTROENCEPHALOGRAM,Eeg) Electroencephalogram,Uncategorized,02 PCC+
SLEEP STUDY COMBINED TEST (DIAGNOSTIC+THERAPEUTIC),Sleep Study Combined Test (Diagnostic+Therapeutic,Laboratory,01 Clinic+
D-DIMER,D-Dimer,Uncategorized,02 PCC+
XRAY-CHEST APICOLORDOTIC VIEW,X-Ray - Chest Apicolordotic View,Imaging,02 PCC+
FASTING SERUM INSULIN,Fasting Serum Insulin,Laboratory,01 Clinic+
BIOMETRY (BOTH EYES),Biometry (Both Eyes,Ophthalmology,02 PCC+
2D ECHO WITH DOPPLER (PEDIA),2D Echo with Doppler,Cardiology,02 PCC+
MRI -THORACIC SPINE,MRI - Thoracic Spine,Imaging,03 Hospital Only
RHEUMATOID FACTOR (RF),Rheumatoid Factor (Rf,Uncategorized,02 PCC+
SLEEP SPLIT TEST PACKAGE,Sleep Split Test Package,Laboratory,01 Clinic+
CTSCAN - CHEST W/ CONTRAST,Ctscan - Chest Contrast,Laboratory,01 Clinic+
TOTAL IGE,Total Ige,Uncategorized,02 PCC+
N-TERMINAL B-TYPE NATRIURETIC PEPTIDE (NT-PRO-BNP),N-Terminal B-Type Natriuretic Peptide (Nt-Pro-Bnp,Uncategorized,02 PCC+
POLYSOMNOGRAMS / SLEEP STUDY,Polysomnograms / Sleep Study,Uncategorized,02 PCC+
MEDIUM HISTOPATH,Medium Histopath,Uncategorized,02 PCC+
MRI - WHOLE ABDOMEN,MRI - Whole Abdomen,Imaging,03 Hospital Only
SLEEP TEST SPLIT NIGHT,Sleep Test Split Night,Laboratory,01 Clinic+
MRCP PLAIN ONLY,Mrcp Plain Only,Uncategorized,02 PCC+
HUMAN EPIDIDYMIS PROTEIN 4 ( HE4 ),Human Epididymis Protein 4 ( He4,Laboratory,01 Clinic+
ULTRASOUND - TRANSVAGINAL WITH DOPPLER,Ultrasound - Transvaginal,Imaging,02 PCC+
OCT BOTH EYES,Oct Both Eyes,Ophthalmology,02 PCC+
LIPASE,Lipase,Uncategorized,02 PCC+
BICARBONATE (HCO3),Bicarbonate (Hco3,Uncategorized,02 PCC+
ARTERIAL & VENOUS DUPLEX SCAN BOTH LOWER EXTREMITIES,Arterial & Venous Duplex Scan Both Lower Extremities,Uncategorized,02 PCC+
CT SCAN-WHOLE ABDOMEN (TRI-PHASE) WITH CONTRAST,CT Scan - Whole Abdomen (Tri-Phase),Imaging,03 Hospital Only
RNA VIRAL LOAD,Rna Viral Load,Uncategorized,02 PCC+
(LH) LUTEINIZING HORMONE,Lh) Luteinizing Hormone,Uncategorized,02 PCC+
"CHEM 12 ( FBS, K, BUA, BUN, CHLORIDE , CREA, NA , TRI, HDL, LDL )",Fasting Blood Sugar (FBS),Laboratory,01 Clinic+
CT SCAN -WHOLE ABDOMEN W/IV CONTRAST,CT Scan - Whole Abdomen,Imaging,03 Hospital Only
INSULIN,Insulin,Uncategorized,02 PCC+
EXTRACORPOREAL SHOCK WAVE LITHOTRIPSY (ESWL) -BILATERAL (NET OF PHIC AND PF INCLUSIVE),Extracorporeal Shock Wave Lithotripsy (Eswl) -Bilateral (Net Of Phic And Pf Inclusive),Urology,03 Hospital Only
ULTRASOUND-AXILLARY (UNILATERAL),Ultrasound - Axillary (Unilateral),Imaging,02 PCC+
LIVER ELASTOGRAPHY,Liver Elastography,Laboratory,01 Clinic+
PAPS SMEAR (READING),Paps Smear (Reading,Uncategorized,02 PCC+
HDL (HIGH-DENSITY LIPOPROTEIN),Hdl (High-Density Lipoprotein,Laboratory,01 Clinic+
CT SCAN-UROGRAM WITH CONTRAST,CT Scan - Urogram,Imaging,03 Hospital Only
MRI CRANIAL W/ CONTRAST AND MRA,MRI - Cranial,Imaging,03 Hospital Only
ULTRASOUND -INGUINO-SCROTAL,Ultrasound - Inguino-Scrotal,Imaging,02 PCC+
(LDH) LACTATE DEHYDROGENASE,Ldh) Lactate Dehydrogenase,Uncategorized,02 PCC+
MRI COGNITIVE FUSION PROSTATE BIOPSY (NET OF PHIC/PF INCLUDED),MRI - Cognitive Fusion Prostate Biopsy (Net Of Phic/Pf Included),Imaging,03 Hospital Only
"CYSTOSCOPY PACKAGE (INCLUSIONS; MEDICINES, MONITORS & MEDICAL SUPPLIES, PROCEDURE FEE, PF UROLOGIST, PF ANESTHESIOLOGIST/NET OF PHIC)",Cystoscopy Package,Laboratory,01 Clinic+
CHLAMYDIA AG TEST,Chlamydia Ag Test,Laboratory,01 Clinic+
CT SCAN -ABDOMINAL,CT Scan - Abdominal,Imaging,03 Hospital Only
"ALLERGY PANEL A (TOTAL IGE, PHADIATOP & FX5)","Allergy Panel A (Total Ige, Phadiatop & Fx5",Laboratory,01 Clinic+
MICROALBUMIN CREATININE RATIO,Creatinine,Laboratory,01 Clinic+
OCT ( OPTICAL COHERENCE TOMOGRAPHY ) - GLAUCOMA BOTH EYES,Oct ( Optical Coherence Tomography ) - Glaucoma Both Eyes,Ophthalmology,02 PCC+
SPLIT NIGHT NOCTURNAL POLYSOMNOGRAM,Split Night Nocturnal Polysomnogram,Uncategorized,02 PCC+
CHEST PA (ACU),Chest Pa (Acu),Uncategorized,02 PCC+
FECAL IMMUNOCHEMICAL TEST (FIT),Fecal Immunochemical Test (Fit,Laboratory,01 Clinic+
SLEEP TEST (COMBINED),Sleep Test (Combined,Laboratory,01 Clinic+
AMYLASE,Amylase,Uncategorized,02 PCC+
XRAY KNEE AP BILATERAL,X-Ray - Knee Ap Bilateral,Imaging,02 PCC+
CT SCAN - UPPER ABDOMEN CONTRAST,CT Scan - Upper Abdomen Contrast,Imaging,03 Hospital Only
F-18 PSMA WHOLE BODY PET/CT,F-18 Psma Whole Body Pet/Ct,Uncategorized,02 PCC+
(HCG) HUMAN GONADOTROPIN - QUANTITATIVE,Hcg) Human Gonadotropin - Quantitative,Uncategorized,02 PCC+
PULMONARY FUNCTION TEST,Pulmonary Function Test,Laboratory,01 Clinic+
XRAY-HAND AP-O (BILATERAL),X-Ray - Hand Ap-O (Bilateral),Imaging,02 PCC+
NASAL ENDOSCOPY,Nasal Endoscopy,Uncategorized,03 Hospital Only
CORONARY ANGIOGRAM (GROSS OF PHIC/PF INCLUDED),Coronary Angiogram (Gross Of Phic/Pf Included,Uncategorized,02 PCC+
SUBJECTIVE REFRACTION,Subjective Refraction,Ophthalmology,02 PCC+
CANCER ANTIGEN 153 (CA 153),Cancer Antigen 153 (Ca 153,Laboratory,01 Clinic+
(ASO) ANTISTREPTOLYSIN O,Aso) Antistreptolysin O,Uncategorized,02 PCC+
PET CT SCAN W/O CONTRAST,CT Scan,Imaging,03 Hospital Only
COMBINATION OF MAMMOGRAM AND BREAST ULTRASOUND,Ultrasound,Imaging,02 PCC+
(PO4) PHOSPHASE OR INORGANIC PHOSPHORUS,Phosphorus,Uncategorized,02 PCC+
THYROID-STIMULATING HORMONE ANTIBODY RECEPTOR (TSH-TRAB)/THYROTROPIN RECEPTOR ANTIBODY (TRAB),Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
MRI-WHOLE SPINE,MRI - Whole Spine,Imaging,03 Hospital Only
ULTRASOUND-INGUINO SCROTAL DOPPLER,Ultrasound - Inguino Scrotal Doppler,Imaging,02 PCC+
STOOL EXAM,Stool Exam,Uncategorized,02 PCC+
CT SCAN-STONOGRAM PLAIN,CT Scan - Stonogram Plain,Imaging,03 Hospital Only
GENEXPERT,Genexpert,Uncategorized,02 PCC+
ULTRASOUND-ARTERIAL AND VENOUS (LOWER EXTREMITY) UNILATERAL,Ultrasound - Arterial And Venous (Lower Extremity) Unilateral,Imaging,02 PCC+
(ANA-TITER) ANTINUCLEAR ANTIBODIES TITER,Ana-Titer) Antinuclear Antibodies Titer,Uncategorized,02 PCC+
CROSS LINKING RIGHT EYE WITH PF PACKAGE,Cross Linking Right Eye Pf Package,Ophthalmology,02 PCC+
CT SCAN - CHEST HIGH RESOLUTION,CT Scan - Chest High Resolution,Imaging,03 Hospital Only
SPECIAL TEST IN-HOUSE_TSH RECEPTOR ANTIBODY (TRAB),Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
NT PRO-BNP.,Nt Pro-Bnp.,Uncategorized,02 PCC+
ESTRADIOL (E2),Estradiol (E2,Uncategorized,02 PCC+
CT SCAN-CHEST WITH HRCT SCAN,CT Scan,Imaging,03 Hospital Only
XRAY-KNEE APL UNILATERAL,X-Ray - Knee Apl Unilateral,Imaging,02 PCC+
HBV DNA,Hbv Dna,Uncategorized,02 PCC+
SLIT LAMP EXAMINATION / BIOMICROSCOPY,Slit Lamp Examination / Biomicroscopy,Uncategorized,02 PCC+
TREADMILL STRESS ECHOCARDIOGRAM,Treadmill Exercise Test,Cardiology,02 PCC+
TYPHIDOT,Typhidot,Uncategorized,02 PCC+
ULTRASOUND-THYROID WITH DOPPLER,Ultrasound - Thyroid,Imaging,02 PCC+
GASTROSCOPY AND COLONOSCOPY PACKAGE,Gastroscopy And Colonoscopy Package,Laboratory,03 Hospital Only
TRIAL FITTING/ REFRACTION FOR PRESCRIPTION,Trial Fitting/ Refraction For Prescription,Ophthalmology,02 PCC+
"FLEXIBLE CYSTOURETHROSCOPY PACKAGE (FACILITY FEE + PF, NET OF PHIC)","Flexible Cystourethroscopy Package (Facility Fee + Pf, Net Of Phic",Laboratory,01 Clinic+
PLATELET COUNT,Platelet Count,Uncategorized,02 PCC+
SGPT,SGPT/ALT,Laboratory,01 Clinic+
BLOOD CULTURE AND SENSITIVITY,Blood Culture And Sensitivity,Laboratory,01 Clinic+
PET CT SCAN PLAIN,CT Scan - Plain,Imaging,03 Hospital Only
LDL (LOW-DENSITY LIPOPROTEIN),Ldl (Low-Density Lipoprotein,Laboratory,01 Clinic+
ACCENTURE-2D ECHO WITH COLOR DOPPLER,2D Echo with Doppler,Cardiology,02 PCC+
MRI - CERVICAL SPINE WITH CONTRAST,MRI - Cervical Spine,Imaging,03 Hospital Only
ORAL GLUCOSE TOLERANCE TEST (OGTT),Oral Glucose Tolerance Test (Ogtt,Laboratory,01 Clinic+
"MRI HEAD WITH DWI, SWI AND MRA",MRI - Head,Imaging,03 Hospital Only
SLEEP DISORDER STUDY,Sleep Disorder Study,Uncategorized,02 PCC+
PHYSICAL THERAPY USE OF PARALLEL BARS,Physical Therapy Use Of Parallel Bars,Physical Therapy,02 PCC+
XRAY SHOULDER Y SCAPULA,X-Ray - Shoulder Y Scapula,Imaging,02 PCC+
MRI -HIP JOINTS/PELVIC W/ CONTRAST,MRI - Hip Joints/Pelvic,Imaging,03 Hospital Only
MRI-WHOLE ABDOMEN WITH CONTRAST,MRI - Whole Abdomen,Imaging,03 Hospital Only
XRAY-ELBOW APL 11X14,X-Ray - Elbow Apl 11X14,Imaging,02 PCC+
MRI SPINE SCREENING SURVEY,MRI - Spine Screening Survey,Imaging,03 Hospital Only
ACCENTURE-LIPID PROFILE (CHOLE./TRIGLY/HDL/LDL/VLD,Lipid Profile,Laboratory,01 Clinic+
CT SCAN-WHOLE ABDOMEN (TRI-PHASE),CT Scan - Whole Abdomen (Tri-Phase),Imaging,03 Hospital Only
MICROBLEPHAROEXFOLIATION BLEPHEX (PACKAGE_PF- FOUR SESSIONS AND ALL CHARGES),Microblepharoexfoliation Blephex (Package_Pf- Four Sessions And All Charges,Physical Therapy,02 PCC+
ACCENTURE-COMPLETE BLOOD COUNT WITH PLATELET (CBC-PC),Complete Blood Count (CBC),Laboratory,01 Clinic+
GLAUCOMA PACKAGE,Glaucoma Package,Laboratory,01 Clinic+
CHEM 8 (CHEM 7 + SGPT),SGPT/ALT,Laboratory,01 Clinic+
"LIPID PROFILE W/O VLDL (TOTAL CHOLE, HDL, LDL, & TRIGLY)",Lipid Profile,Laboratory,01 Clinic+
DOBUTAMINE STRESS ECHOCARDIOGRAM,Dobutamine Stress Echocardiogram,Cardiology,02 PCC+
OGTT 3 SAMPLE,Ogtt 3 Sample,Uncategorized,02 PCC+
ANKLE BRACHIAL INDEX,Ankle Brachial Index,Uncategorized,02 PCC+
CATARACT SURGERY(PHACOEMULSIFICATION),Cataract Surgery(Phacoemulsification,Uncategorized,03 Hospital Only
ULTRASOUND GUIDED BIOPSY,Ultrasound - Guided Biopsy,Imaging,03 Hospital Only
IGE IMMUNOGLOBULIN,Ige Immunoglobulin,Uncategorized,02 PCC+
XRAY-SCOLIOSIS SERIES,X-Ray - Scoliosis Series,Imaging,02 PCC+
CT SCAN-WHOLE ABDOMEN TRIPHASIC,CT Scan - Whole Abdomen Triphasic,Imaging,03 Hospital Only
ULTRASOUND-CAROTID DUPLEX SCAN UNILATERAL,Ultrasound - Carotid Duplex Scan Unilateral,Imaging,02 PCC+
"XRAY-KNEE APL (ANTERIOR, POSTERIOR, & LATERAL VIEWS) BILATERAL","X-Ray - Knee Apl (Anterior, Posterior, & Lateral Views) Bilateral",Imaging,02 PCC+
CT SCAN-E* WHOLE BODY PET CT W/ CONTRAST (F18-PSMA),CT Scan - E* Whole Body Pet Ct,Imaging,03 Hospital Only
SGOT,SGOT/AST,Laboratory,01 Clinic+
XRAY-BMD SPINE AND HIPS,X-Ray - Bmd Spine And Hips,Imaging,02 PCC+
"(ANTI-HBC) HEPATITIS B CORE, TOTAL","Anti-Hbc) Hepatitis B Core, Total",Uncategorized,02 PCC+
MRI-UPPER ABDOMEN WITH CONTRAST,MRI - Upper Abdomen,Imaging,03 Hospital Only
XRAY-WRIST APL UNILATERAL 11X14,X-Ray - Wrist Apl Unilateral 11X14,Imaging,02 PCC+
CULTURE AND SENSITIVITY,Culture And Sensitivity,Laboratory,01 Clinic+
ULTRASOUND-SOFT TISSUE (WITH COLOR FLOW),Ultrasound - Soft Tissue (,Imaging,02 PCC+
LARGE HISTOPATH,Large Histopath,Uncategorized,02 PCC+
CT SCAN - PARANASAL SINUSES W/ CONTRAST,CT Scan - Paranasal Sinuses,Imaging,03 Hospital Only
MRI-MULTIPARAMETRIC PROSTATE WITH CONTRAST,MRI - Multiparametric Prostate,Imaging,03 Hospital Only
CORONARY ANGIOGRAM PACKAGE W/ PF (NET OF PHIC),Coronary Angiogram Package Pf (Net Of Phic,Laboratory,01 Clinic+
SONOMAMMOGRAPHY,Sonomammography,Uncategorized,02 PCC+
"ELECTROLYTE PANEL (NA, K, CL)","Electrolyte Panel (Na, K, Cl",Laboratory,01 Clinic+
MRI KNEE (RIGHT),MRI - Knee (Right),Imaging,03 Hospital Only
"SODIUM AND POTASSIUM (NA, K)",Potassium (K),Laboratory,01 Clinic+
HEPATITIS A (ANTI-HAV IGG),Hepatitis A (Anti-Hav Igg,Laboratory,01 Clinic+
OCT ( OPTICAL COHERENCE TOMOGRAPHY ) - MACULA (SINGLE EYE),Oct ( Optical Coherence Tomography ) - Macula (Single Eye,Ophthalmology,02 PCC+
"STRESS ECHO, W/OUT MEDICINE BRUCE PROTOCOL","Stress Echo, Ut Medicine Bruce Protocol",Uncategorized,02 PCC+
MRI - LUMBOSACRAL SPINE,MRI - Lumbosacral Spine,Imaging,03 Hospital Only
CT SIMULATION (IMRT COMPLEX),Ct Simulation (Imrt Complex,Uncategorized,02 PCC+
XRAY-SHOULDER BILATERAL,X-Ray - Shoulder Bilateral,Imaging,02 PCC+
PROTHROMBIN TIME,Prothrombin Time,Uncategorized,02 PCC+
EXTRACORPOREAL SHOCK WAVE LITHOTRIPSY (ESWL),Extracorporeal Shock Wave Lithotripsy (Eswl,Urology,03 Hospital Only
"CHEM 12 (FBS,BUN, CREA, LP, BUA, SGPT, SGOT, NA, K)",SGPT/ALT,Laboratory,01 Clinic+
BONE SCINTIGRAPHY,Bone Scintigraphy,Uncategorized,02 PCC+
XRAY-THORACIC SPINE APL,X-Ray - Thoracic Spine Apl,Imaging,02 PCC+
XRAY-SKULL - PARANASAL SINUSES,X-Ray - Skull - Paranasal Sinuses,Imaging,02 PCC+
TUMT TRANSURETHRAL MICROWAVE THERAPY,Tumt Transurethral Microwave Therapy,Uncategorized,02 PCC+
FUNDUS PHOTOGRAPHY/FUNDUS SCREENING,Fundus Photography/Fundus Screening,Uncategorized,02 PCC+
MRI-SHOULDER PLAIN,MRI - Shoulder Plain,Imaging,03 Hospital Only
ARTERIAL DUPLEX SCAN OF LOWER EXTREMITY,Arterial Duplex Scan Of Lower Extremity,Uncategorized,02 PCC+
F18 FDG WHOLE BODY PET SCAN,F18 Fdg Whole Body Pet Scan,Uncategorized,02 PCC+
JAK2 V617F MUTATION (PCR),Jak2 V617F Mutation (Pcr,Uncategorized,02 PCC+
"ULTRASOUND-PELVIC, WHOLE ABDOMEN","Ultrasound - Pelvic, Whole Abdomen",Imaging,02 PCC+
PHYSICAL THERAPY USE OF THERAPUTTY,Physical Therapy Use Of Theraputty,Physical Therapy,02 PCC+
MRI-ARTEMIS COGNITIVE FUSION BIOPSY (GROSS OF PHIC/PF INCLUDED),MRI - Artemis Cognitive Fusion Biopsy (Gross Of Phic/Pf Included),Imaging,03 Hospital Only
MAMMOGRAM BILATERAL,Mammogram Bilateral,Imaging,02 PCC+
MRI-CRANIAL W/ CONTRAST,MRI - Cranial,Imaging,03 Hospital Only
MRI CERVICAL PLAIN,MRI - Cervical Plain,Imaging,03 Hospital Only
PERIMETRY-BOTH EYE,Perimetry-Both Eye,Ophthalmology,02 PCC+
MRI UPPER ABDOMEN WITH MRCP (DYNAMIC PROTOCOL FOR CONTRAST PROCEDURES),MRI - Upper Abdomen,Imaging,03 Hospital Only
MRI - LUMBOSACRAL WITH CONTRAST,MRI - Lumbosacral,Imaging,03 Hospital Only
ULTRASOUND GUIDED CORE NEEDLE BIOPSY BREAST,Ultrasound - Guided Core Needle Biopsy Breast,Imaging,03 Hospital Only
POLYSOMNOGRAPHY (PSG) - SPLIT NIGHT NOCTURNAL POLYSOMNOGRAPHY,Polysomnography (Psg) - Split Night Nocturnal Polysomnography,Uncategorized,02 PCC+
HYSTEROSCOPY,Hysteroscopy,Uncategorized,02 PCC+
PARS PLANA VICTRECTOMY (PF INCLUDED/NET OF PHIC),Pars Plana Victrectomy (Pf Included/Net Of Phic,Uncategorized,02 PCC+
FT3 (ECLIA),Free T3 (FT3),Uncategorized,02 PCC+
CT SCAN-CHEST PLAIN W/CONTRAST,CT Scan - Chest Plain,Imaging,03 Hospital Only
URINE PREGNANCY TEST,Urine Pregnancy Test,Laboratory,01 Clinic+
ULTRASOUND-PELVIC OB (NON PREGNANT),Ultrasound - Pelvic Ob (Non Pregnant),Imaging,02 PCC+
CT SCAN NECK (PLAIN),CT Scan - Neck (Plain),Imaging,03 Hospital Only
PFT-COMPLETE,Pft-Complete,Uncategorized,02 PCC+
"ULTRASOUND, LIVER, GALL BLADDER, KIDNEYS AND URINARY BLADDER WITH PELVIS","Ultrasound - , Liver, Gall Bladder, Kidneys And Urinary Bladder",Imaging,02 PCC+
ESTRADIOL,Estradiol,Uncategorized,02 PCC+
SHOCKWAVE THERAPY,Shockwave Therapy,Uncategorized,02 PCC+
WHOLE BODY I-131 SCAN,Whole Body I-131 Scan,Uncategorized,02 PCC+
INTENSITY MODULATED RADIATION THERAPY (IMRT),Intensity Modulated Radiation Therapy (Imrt,Uncategorized,02 PCC+
PHACOEMUSIFICATION LEFT EYE,Phacoemusification Left Eye,Ophthalmology,02 PCC+
HPV DNA TESTING,Hpv Dna Testing,Laboratory,01 Clinic+
COMBINED SPLIT SLEEP TEST,Combined Split Sleep Test,Laboratory,01 Clinic+
XRAY-THORACO LUMBAR AP 11X14,X-Ray - Thoraco Lumbar Ap 11X14,Imaging,02 PCC+
XRAY-FULL SPINE/SCOLIOSIS SERIES,X-Ray - Full Spine/Scoliosis Series,Imaging,02 PCC+
CT SCAN-HEAD PLAIN,CT Scan - Head Plain,Imaging,03 Hospital Only
SPUTUM TB GENE EXPERT,Sputum Tb Gene Expert,Uncategorized,02 PCC+
CT SCAN-STONOGRAM W/CONTRAST,CT Scan - Stonogram,Imaging,03 Hospital Only
AHMED VALVE - ONE EYE (FACILITY FEE/PF INCLUDED),Ahmed Valve - One Eye (Facility Fee/Pf Included,Ophthalmology,02 PCC+
ULTRASOUND - TRANSVAGINAL/TRANSRECTAL,Ultrasound - Transvaginal/Transrectal,Imaging,02 PCC+
PHACOEMULCIFICATION WITH IOL IMPLANTATION UNDER LOCAL ANESTHESIA (PER EYE) - NET OF PHIC,Phacoemulcification Iol Implantation Under Local Anesthesia (Per Eye) - Net Of Phic,Ophthalmology,02 PCC+
BETA 4 C COMPLEMENT (C4),Beta 4 C Complement (C4,Uncategorized,02 PCC+
WHOLE BODY PET CT SCAN WITH CONTRAST,CT Scan,Imaging,03 Hospital Only
2D ECHO PEDIA PLAIN,2D Echo,Cardiology,02 PCC+
OPTICAL COHERENCE TOMOGRAPHY BOTH EYES,Optical Coherence Tomography Both Eyes,Ophthalmology,02 PCC+
MRI PLAIN LEFT KNEE,MRI - Plain Left Knee,Imaging,03 Hospital Only
XRAY-PELVIS,X-Ray - Pelvis,Imaging,02 PCC+
(HBEAG) HEPATITIS B ENV. ANTIGEN,Hbeag) Hepatitis B Env. Antigen,Laboratory,01 Clinic+
MRI-KNEE PLAIN (BILATERAL),MRI - Knee Plain (Bilateral),Imaging,03 Hospital Only
DOBUTAMINE STRESS TEST ECHO,Dobutamine Stress Test Echo,Laboratory,01 Clinic+
MRI-PROSTATE WITH CONTRAST,MRI - Prostate,Imaging,03 Hospital Only
OPTICAL COHERENCE TOMOGRAPHY- BOTH EYES,Optical Coherence Tomography- Both Eyes,Ophthalmology,02 PCC+
CT SCAN NECK W/ CONTRAST,CT Scan - Neck,Imaging,03 Hospital Only
OCT ( OPTICAL COHERENCE TOMOGRAPHY ) (PER EYE),Oct ( Optical Coherence Tomography ) (Per Eye,Ophthalmology,02 PCC+
MRI - LUMBAR,MRI - Lumbar,Imaging,03 Hospital Only
ULTRASOUND - LIVER,Ultrasound - Liver,Imaging,02 PCC+
OCT (OPTIC NERVE),Oct (Optic Nerve,Uncategorized,02 PCC+
"SODIUM, POTASSIUM, CHLORIDE (NA, K, CL) - SERUM/BLOOD",Potassium (K),Laboratory,01 Clinic+
ULTRASOUND-ARTERIAL DUPLEX SCAN LOWER EXTREMITIES (BILATERAL),Ultrasound - Arterial Duplex Scan Lower Extremities (Bilateral),Imaging,02 PCC+
HISTOPATH ROUTINE A,Histopath A,Uncategorized,02 PCC+
PHYSICAL THERAPY USE OF STAIRS,Physical Therapy Use Of Stairs,Physical Therapy,02 PCC+
OCT ( OPTICAL COHERENCE TOMOGRAPHY ) - GLAUCOMA,Oct ( Optical Coherence Tomography ) - Glaucoma,Uncategorized,02 PCC+
